chembl_id,smiles,mol_weight,logp,hbd,hba,tpsa,rotatable_bonds,heavy_atoms,drug_like
CHEMBL1201201,CN[C@@H](C)Cc1ccccc1,149.24,1.84,1.0,1.0,12.03,3.0,11.0,1
CHEMBL1201202,CO[C@H]1O[C@H](COS(=O)(=O)O)[C@@H](O[C@@H]2O[C@@H](C(=O)O)[C@@H](O[C@H]3O[C@H](COS(=O)(=O)O)[C@@H](O[C@@H]4O[C@H](C(=O)O)[C@@H](O[C@H]5O[C@H](COS(=O)(=O)O)[C@@H](O)[C@H](O)[C@H]5NS(=O)(=O)O)[C@H](O)[C@H]4O)[C@H](OS(=O)(=O)O)[C@H]3NS(=O)(=O)O)[C@H](O)[C@H]2OS(=O)(=O)O)[C@H](O)[C@H]1NS(=O)(=O)O,1508.27,,,,805.4800000000005,30.0,91.0,1
CHEMBL1201203,CN1[C@@H]2CC[C@H]1C[C@@H](OC(c1ccccc1)c1ccccc1)C2,307.44,4.42,2.0,0.0,12.47,4.0,23.0,1
CHEMBL1201204,Cc1cc(O)c(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3C(C(=O)O)=C(CSc4nnnn4C)CS[C@H]23)c2ccc(O)cc2)cn1,612.65,0.33,13.0,5.0,212.76,9.0,42.0,1
CHEMBL1201206,CC(=O)O[C@H]1C[C@@H]2CC[C@@H]3[C@H](CC[C@@]4(C)[C@H]3C[C@H](N3CC[N+](C)(C)CC3)[C@@H]4OC(C)=O)[C@@]2(C)C[C@@H]1N1CC[N+](C)(C)CC1,602.91,3.63,6.0,0.0,59.08,4.0,43.0,1
CHEMBL1201207,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)COP(=O)(O)O,472.45,2.01,6.0,4.0,141.36,4.0,32.0,1
CHEMBL1201208,CC1NCCOC1c1ccccc1,177.25,1.74,2.0,1.0,21.26,1.0,13.0,1
CHEMBL1201210,CCC(=O)c1ccc2c(c1)N(CC(C)N(C)C)c1ccccc1S2,340.49,4.83,4.0,0.0,23.550000000000004,5.0,24.0,1
CHEMBL1201212,COc1ccc(OC)c(C(O)CNC(=O)CN)c1,254.29,-0.19,5.0,3.0,93.81,6.0,18.0,1
CHEMBL1201213,CCC(NC(C)C)C(O)c1ccc(O)c(O)c1,239.31,1.91,4.0,4.0,72.72,5.0,17.0,1
CHEMBL1201216,Cc1ccccc1N1CCN(CCc2nnc3n2CCCC3)CC1,325.46,2.29,5.0,0.0,37.190000000000005,4.0,24.0,1
CHEMBL1201217,CCCCOc1ccc(C(=O)CCN2CCCCC2)cc1,289.42,3.92,3.0,0.0,29.54,8.0,21.0,1
CHEMBL1201218,Cn1nnnc1SCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](OC=O)c3ccccc3)[C@H]2SC1,490.52,-0.04,11.0,2.0,156.61,9.0,33.0,1
CHEMBL1201219,CC(=O)O[C@H]1C[C@@H]2CC[C@@H]3[C@H](CC[C@@]4(C)[C@H]3C[C@H]([N+]3(C)CCCCC3)[C@@H]4OC(C)=O)[C@@]2(C)C[C@@H]1N1CCCCC1,557.84,5.97,5.0,0.0,55.84,4.0,40.0,1
CHEMBL1201220,CC(=O)Nc1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I,613.91,3.12,3.0,3.0,95.5,3.0,20.0,1
CHEMBL1201222,C[C@@H](Cc1ccccc1)NC(=O)[C@@H](N)CCCCN,263.38,1.19,3.0,3.0,81.14,8.0,19.0,1
CHEMBL1201224,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CS[C@H]12)c1csc(N)n1,511.57,-0.87,14.0,3.0,190.81,8.0,33.0,1
CHEMBL1201225,II,253.81,1.77,0.0,0.0,0.0,0.0,2.0,1
CHEMBL1201227,OC(CCN1CCCCC1)(c1ccccc1)C1CCCC1,287.45,3.94,2.0,1.0,23.47,5.0,21.0,1
CHEMBL1201229,CN(CCCCCCCCCCN(C)C(=O)Oc1cccc([N+](C)(C)C)c1)C(=O)Oc1cccc([N+](C)(C)C)c1,556.79,6.76,4.0,0.0,59.08,15.0,40.0,1
CHEMBL1201231,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)COP(=O)(O)O,440.43,1.67,6.0,4.0,141.36,4.0,30.0,1
CHEMBL1201232,CC(C)[N+](C)(CCC(C(N)=O)(c1ccccc1)c1ccccc1)C(C)C,353.53,4.11,1.0,1.0,43.09,8.0,26.0,1
CHEMBL1201233,CCOC(=O)[C@@](C)(N)Cc1ccc(O)c(O)c1,239.27,0.92,5.0,3.0,92.78,4.0,17.0,1
CHEMBL1201234,CNC(C)(C)Cc1ccccc1,163.26,2.23,1.0,1.0,12.03,3.0,12.0,1
CHEMBL1201235,C[N+]1(C)[C@@H]2CC[C@H]1C[C@@H](OC(=O)C(O)c1ccccc1)C2,290.38,2.03,3.0,1.0,46.53,3.0,21.0,1
CHEMBL1201236,C[C@@](Cc1ccc(O)c(O)c1)(NN)C(=O)O,226.23,-0.05,5.0,5.0,115.81000000000002,4.0,16.0,1
CHEMBL1201237,CC(C)(C)NC[C@H](O)COc1cccc2c1CCCC2=O,291.39,2.33,4.0,2.0,58.56,5.0,21.0,1
CHEMBL1201239,CC(=O)NCc1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I,627.94,2.79,3.0,3.0,95.5,4.0,21.0,1
CHEMBL1201242,CC(C)NCCCC1(C(N)=O)c2ccccc2-c2ccccc21,308.43,3.22,2.0,2.0,55.12,6.0,23.0,1
CHEMBL1201243,CN(C)/C=N/c1c(I)cc(I)c(CCC(=O)O)c1I,597.96,3.74,2.0,1.0,52.900000000000006,5.0,19.0,1
CHEMBL1201244,C=CC[N+]1([C@H]2C[C@H]3[C@@H]4CC[C@H]5C[C@H](O)[C@@H](N6CCOCC6)C[C@]5(C)[C@H]4CC[C@]3(C)[C@H]2OC(C)=O)CCCC1,529.79,4.41,5.0,1.0,59.00000000000001,5.0,38.0,1
CHEMBL1201245,CN(C)CCOC(c1ccccc1)c1ccc(Br)cc1,334.26,4.12,2.0,0.0,12.47,6.0,20.0,1
CHEMBL1201247,CC(C)C[C@H](NC(=O)[C@@H](COC(C)(C)C)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)NNC(N)=O,1269.43,,,,493.3899999999998,31.0,91.0,1
