logp,mol_weight,hba,heavy_atoms,hbd,rotatable_bonds,smiles,tpsa,drug_like
2.06,193.29,1.0,14.0,2.0,4.0,CCN(C)C(C)C(O)c1ccccc1,23.47,1
3.89,409.91,0.0,27.0,5.0,5.0,CC(=O)Oc1cc2c(s1)CCN(C(C(=O)C1CC1)c1ccccc1F)C2.Cl,46.61,1
,1513.66,,101.0,,35.0,Cc1c(N)nc([C@H](CC(N)=O)NC[C@H](N)C(N)=O)nc1C(=O)N[C@H](C(=O)N[C@H](C)[C@@H](O)[C@H](C)C(=O)N[C@H](C(=O)NCCc1nc(-c2nc(C(=O)NCCC[S+](C)C)cs2)cs1)[C@@H](C)O)[C@@H](O[C@@H]1O[C@@H](CO)[C@@H](O)[C@H](O)[C@@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](OC(N)=O)[C@@H]1O)c1c[nH]cn1.O=S(=O)(O)O,701.6700000000002,1
-0.08,172.21,2.0,11.0,3.0,1.0,Nc1ccc(S(N)(=O)=O)cc1,86.18,1
,414.6,,27.0,,10.0,O=C([O-])[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.O=C([O-])[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.[Mg+2],282.56,1
7.66,968.3,2.0,64.0,10.0,11.0,CC(C)(C#Cc1ccc(-c2ccc(Cl)c3c(NS(C)(=O)=O)nn(CC(F)(F)F)c23)c([C@H](Cc2cc(F)cc(F)c2)NC(=O)Cn2nc(C(F)(F)F)c3c2C(F)(F)[C@@H]2C[C@H]32)n1)S(C)(=O)=O,157.94,1
-0.19,254.29,3.0,18.0,5.0,6.0,COc1ccc(OC)c(C(O)CNC(=O)CN)c1,93.81,1
7.016520000000009,804.0219999999997,8.0,58.0,3.0,16.0,CC1=CC=C(C=C1)S(=O)(=O)NC(CC2=CC=CC=C2)C(=O)NCC3=CC(=CC=C3)C4=CC(=CC=C4)C5OC(CC(O5)C6=CC=C(C=C6)CO)CN7CCCC7COC,126.43,0
5.02,363.95,0.0,24.0,2.0,2.0,CN1CCCC(CC2c3ccccc3Sc3ccccc32)C1.Cl.O,34.74,1
6.913600000000002,636.3360000000004,4.0,42.0,2.0,9.0,COC1=C(C=CC(=C1)C2=CC(=C(C=C2)NC(=O)C(C(C(F)(F)F)(F)F)(F)F)OC)NC(=O)C(C(C(F)(F)F)(F)F)(F)F,76.66,0
6.430000000000008,523.6920000000003,6.0,35.0,1.0,25.0,CCCCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O])OCC[N+](C)(C)C)O,101.96,0
3.13,365.86,0.0,25.0,4.0,2.0,Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O.Cl.O.O,102.82,1
6.57,354.02,0.0,24.0,0.0,14.0,CCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-],0.0,1
3.56,228.08,1.0,14.0,2.0,0.0,Cc1ccc2c(Cl)cc(Cl)c(O)c2n1,33.120000000000005,1
-0.59,255.23,0.0,18.0,6.0,5.0,COC(=O)/C=C/C(=O)OCCN1C(=O)CCC1=O,89.98000000000002,1
2.67,359.26,0.0,25.0,7.0,5.0,O=[N+]([O-])c1cn2c(n1)OC[C@@H](OCc1ccc(OC(F)(F)F)cc1)C2,88.65,1
0.34,190.18,3.0,12.0,4.0,1.0,O=S(=O)(O)c1cc(O)ccc1O,94.83,1
2.4,505.64,3.0,35.0,7.0,11.0,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)c1ccc(N)cc1,131.19,1
,107.11,,7.0,,1.0,CC(O)C(=O)O.N,92.53,1
1.47,218.26,1.0,16.0,2.0,2.0,CCC1(c2ccccc2)NC(=O)N(C)C1=O,49.41,1
6.378100000000003,562.5370000000003,6.0,36.0,2.0,8.0,CC(C)(C)C1=CC=C(C=C1)C2=NN=C(N2C3=CC=CC=C3)SCC(=O)NNC(=C)C4=CC=C(C=C4)Br,71.84,0
5.626620000000005,506.64900000000034,8.0,35.0,0.0,7.0,CC1=CC(=C(C=C1C(=O)CSC2=NC3=C(C4=C(S3)CCCC4)C(=O)N2C5=CC=CC=C5)OC)OC,70.42,0
4.2,404.55,1.0,29.0,5.0,6.0,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,72.83,1
0.07,32.0,0.0,2.0,2.0,0.0,O=O,34.14,1
,430.37,,27.0,,10.0,O=C([O-])[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.O=C([O-])[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.[Ca+2],282.56,1
2.97,447.54,2.0,33.0,9.0,5.0,CC(=O)c1c(C)c2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n(C2CCCC2)c1=O,105.04,1
5.51,538.13,3.0,38.0,4.0,10.0,CC(C)(C(=O)O)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1.Cl,81.0,1
-0.7833999999999968,576.3480000000001,8.0,33.0,6.0,4.0,CC(C)C1C(=O)NC(C(=O)NC(CCNC2=C(C=C(C=C2I)[N+](=O)[O-])C(=O)N1)C(=O)N)CO,205.79,0
7.031700000000007,556.6150000000002,9.0,41.0,0.0,12.0,COC1=CC(=C(C=C1C=NC2=CC=C(C=C2)OC3=CC=C(C=C3)N=CC4=CC(=C(C=C4OC)OC)OC)OC)OC,89.33000000000001,0
3.89,396.57,2.0,27.0,3.0,3.0,C[C@]12CCC(=O)C=C1C=C[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@@]2(O)CCC(=O)[O-].[K+],77.42999999999999,1
3.67,242.27,1.0,18.0,2.0,4.0,CC(C(=O)O)c1cccc(Oc2ccccc2)c1,46.53,1
4.99,754.17,2.0,53.0,9.0,12.0,CCOC(=O)[C@@H](N)Cc1ccc(-c2cc(O[C@H](c3ccc(Cl)cc3-n3ccc(C)n3)C(F)(F)F)nc(N)n2)cc1.O=C(O)CNC(=O)c1ccccc1,197.57,1
3.17,360.89,1.0,25.0,4.0,4.0,C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12.Cl,45.59,1
,216.04,,12.0,,4.0,O=P(O)(O)OCC([O-])C[O-].[Na+].[Na+],112.88,1
2.0,376.45,0.0,27.0,6.0,7.0,CCC(=O)N(c1ccccc1)C1(C(=O)OC)CCN(CCC(=O)OC)CC1,76.15,1
2.29,310.41,1.0,21.0,1.0,10.0,CCCC(CCC)C(=O)O.CCCC(CCC)C(=O)[O-].[Na+],77.42999999999999,1
1.25,236.27,2.0,17.0,3.0,2.0,CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O,75.27000000000001,1
-0.54,427.46,3.0,28.0,10.0,7.0,COCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N\OC)c3csc(N)n3)[C@H]2SC1,156.44,1
6.572220000000005,543.4470000000002,6.0,37.0,1.0,10.0,CCOC1=C(C=CC(=C1)C=NNC(=O)COC2=C(C=CC(=C2)C)C(C)C)OC(=O)C3=C(C=C(C=C3)Cl)Cl,86.22,0
3.38,287.36,2.0,21.0,2.0,4.0,CCc1cccc2c3c([nH]c12)C(CC)(CC(=O)O)OCC3,62.32000000000001,1
3.82,806.99,4.0,57.0,14.0,8.0,CC(=O)O[C@H]1C[C@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5CC[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)O[C@H](C)[C@H]1O,188.9,1
1.44,163.39,1.0,7.0,1.0,0.0,O=C(O)C(Cl)(Cl)Cl,37.3,1
1.77,303.29,0.0,22.0,5.0,2.0,CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2,64.43,1
2.52,623.68,4.0,40.0,8.0,13.0,CC(C)CN(C[C@@H](OP(=O)([O-])[O-])[C@H](Cc1ccccc1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)c1ccc(N)cc1.[Ca+2],183.38,1
4.89,420.53,1.0,31.0,3.0,4.0,C[C@@H]1CN([C@H]2CC[C@](C#N)(c3ccc(F)cc3)CC2)CC[C@]1(C(=O)O)c1ccccc1,64.33,1
2.21,247.34,0.0,18.0,3.0,3.0,CCOC(=O)C1(c2ccccc2)CCN(C)CC1,29.54,1
1.11,305.07,2.0,14.0,2.0,3.0,O=C(O)CNC(=O)c1ccccc1I,66.4,1
5.823500000000007,723.908,10.0,52.0,3.0,17.0,CCNC(=O)OC1=CC2=C(C=C1)OC3(C(CC(=NOC4CCCCO4)C5=CC(C(C2C53)CCCCO)CCCCO)N(C)C(=O)C6CC6)OCC=C,148.38,0
1.27,319.34,2.0,23.0,5.0,3.0,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,74.57000000000001,1
5.18,342.7,1.0,21.0,1.0,2.0,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21.Cl,12.03,1
-0.92,586.54,4.0,37.0,12.0,9.0,O=C([O-])C1=C(CSc2nnnn2CS(=O)(=O)[O-])CS[C@@H]2[C@H](NC(=O)[C@H](O)c3ccccc3)C(=O)N12.[Na+].[Na+],210.57,1
2.47,249.32,1.0,19.0,3.0,0.0,NC1=NCC2c3ccccc3Cc3ccccc3N12,41.62,1
6.58,528.54,2.0,37.0,2.0,2.0,C[C@]12C=CC(=O)N[C@@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](C(=O)Nc3cc(C(F)(F)F)ccc3C(F)(F)F)CC[C@@H]12,58.2,1
,1022.24,,73.0,,10.0,CC[C@H]1NC(=O)[C@@H](NC(=O)c2ncccc2O)[C@@H](C)OC(=O)[C@H](c2ccccc2)NC(=O)[C@@H]2CC(=O)[C@H](CS[C@@H]3CN4CCC3CC4)CN2C(=O)[C@H](Cc2ccc(N(C)C)cc2)N(C)C(=O)[C@@H]2CCCN2C1=O,231.2,1
2.19,257.29,1.0,19.0,3.0,4.0,Cc1ccc(C(=O)c2ccc(CC(=O)O)n2C)cc1,59.3,1
5.73,413.56,1.0,31.0,3.0,6.0,Oc1ccc2c(c1)CC[C@H](c1ccccc1)[C@@H]2c1ccc(OCCN2CCCC2)cc1,32.7,1
,384.25,,28.0,,9.0,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,124.44,1
1.26,678.73,2.0,47.0,7.0,10.0,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC.COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC.O=S(=O)(O)O,285.62,1
0.32,349.41,3.0,24.0,5.0,4.0,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)O,112.73,1
7.397600000000005,614.4990000000004,5.0,42.0,1.0,5.0,C1CN(CCN1C(C2=CC=CC=C2)C3=CC=CC=C3)C(=O)C4=NN5C(CC(NC5=C4)C6=CC(=C(C=C6)Cl)Cl)C(F)(F)F,53.4,0
1.31,239.31,4.0,17.0,4.0,4.0,CC(C)(C)NCC(O)c1ccc(O)c(CO)c1,72.72,1
2.68,371.28,1.0,22.0,4.0,6.0,CCN1CCC[C@H]1CNC(=O)c1c(OC)ccc(Br)c1OC,50.80000000000001,1
