smiles,mol_weight,logp,hbd,hba,tpsa,rotatable_bonds,heavy_atoms,drug_like
C1COCCN1CC2CC(OC(O2)C3=CC=CC(=C3)C4=CC=CC(=C4)CNC(=O)CCCCCCC(=O)O)C5=CC=C(C=C5)CO,630.7820000000005,5.764900000000006,3,7,117.56,15,46,0
CN1C=CN=C1SCC2CC(OC(O2)C3=CC=C(C=C3)C4=CC=CC(=C4)CNC(=O)CCCCC(=O)NC5=CC=CC=C5N)C6=CC=C(C=C6)CO,719.9080000000002,7.314600000000007,4,9,140.73,15,52,0
CC(C)C1=C(C(=CC=C1)C(C)C)[N-]C(C)CC(C)[N-]C2=C(C=CC=C2C(C)C)C(C)C.C1CC[CH-]C1.C1CCOC1.[Mg+2],586.2240000000002,12.238589999999983,0,1,37.43000000000001,10,42,0
COC1=C(C=C(C=C1)C2=C(C(C3=CC=CC=C3O2)C4=CC=CC=C4)C=NN5C(=O)C6=CC=CC=C6NC5=O)OC,531.5680000000001,5.1767000000000065,1,7,94.91000000000001,6,40,0
C1=CC=C(C=C1)C(C2=CC=CC=C2)NC(=O)CCCSC3=NC4=CC=CC=C4C(=O)N3C5=CC(=C(C=C5)Cl)Cl,574.5330000000001,7.470600000000005,1,5,63.99,9,39,0
CC(C)(C)OC(=O)N1CC(CC1C(=O)NC2=CC(=CNC2=O)C3=CC=NC=C3)NC(=O)OCC4C5=CC=CC=C5C6=CC=CC=C46,621.6940000000002,5.292100000000004,3,7,142.72,6,46,0
CC1=CC(=C(C=C1C(=O)CSC2=NC3=C(C4=C(S3)CCCC4)C(=O)N2C5=CC=CC=C5)OC)OC,506.64900000000034,5.626620000000005,0,8,70.42,7,35,0
CCOC1=CC=CC=C1NC2=NC3=CC=CC=C3[N+]4=C2NC5=C(C4C6=CC=CS6)C(=NN5C7=CC=CC=N7)C,532.6530000000001,6.309920000000005,2,8,80.77,6,39,0
COC1=CC=C(C=C1)N=C2C(=CC3=CC=CC=C3O2)C(=O)NC4=NC(=CS4)C5=C(C=C(C=C5)Cl)Cl,522.4130000000001,7.356400000000003,1,6,76.72,5,35,0
CC1=C(C(=O)N(N1C)C2=CC=CC=C2)NS(=O)(=O)C3=C(C=CC(=C3)C(=O)NC4=CC=C(C=C4)SC(F)F)Cl,579.0500000000003,5.505620000000004,2,7,102.19999999999999,8,38,0
